prop_id,prop_type,province,city,location,bedrooms,bathrooms,area,purpose,date_added,price,pprice
9,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",4,4,350 Sq. Yd.,For Sale,6/28/2023,PKR2.2 Crore,22000000
10,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",5,4,120 Sq. Yd.,For Sale,6/28/2023,PKR5.25 Crore,52500000
11,Flat,Sindh,Karachi,"DHA Defence, Karachi, Sindh",3,3,133 Sq. Yd.,For Sale,6/28/2023,PKR1.25 Crore,12500000
12,House,Sindh,Karachi,"Gulshan-e-Iqbal Town, Karachi, Sindh",8,8,400 Sq. Yd.,For Sale,6/28/2023,PKR8 Crore,80000000
13,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,125 Sq. Yd.,For Sale,6/28/2023,PKR1.38 Crore,13800000
14,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,106 Sq. Yd.,For Sale,6/28/2023,PKR68 Lakh,680000000
15,House,Sindh,Karachi,"North Karachi, Karachi, Sindh",5,4,160 Sq. Yd.,For Sale,6/28/2023,PKR3.05 Crore,30500000
16,House,Sindh,Karachi,"North Karachi, Karachi, Sindh",6,7,120 Sq. Yd.,For Sale,6/28/2023,PKR2.5 Crore,25000000
17,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",5,4,150 Sq. Yd.,For Sale,6/28/2023,PKR6.85 Crore,68500000
18,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",6,5,500 Sq. Yd.,For Sale,6/28/2023,PKR16.5 Crore,165000000
19,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,97 Sq. Yd.,For Sale,6/28/2023,PKR83.13 Lakh,831300000
20,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",5,5,120 Sq. Yd.,For Sale,6/28/2023,PKR4.4 Crore,44000000
21,Flat,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,167 Sq. Yd.,For Sale,6/28/2023,PKR1.58 Crore,15800000
22,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",5,5,500 Sq. Yd.,For Sale,6/28/2023,PKR4 Crore,40000000
23,Flat,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,172 Sq. Yd.,For Sale,6/28/2023,PKR1.4 Crore,14000000
24,Flat,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,167 Sq. Yd.,For Sale,6/28/2023,PKR90 Lakh,900000000
25,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",4,3,152 Sq. Yd.,For Sale,6/29/2023,PKR1.43 Crore,14300000
26,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,6/29/2023,PKR1.7 Crore,17000000
27,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",4,4,350 Sq. Yd.,For Sale,6/29/2023,PKR2.05 Crore,20500000
28,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,125 Sq. Yd.,For Sale,6/29/2023,PKR1.4 Crore,14000000
29,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,6/29/2023,PKR1.74 Crore,17400000
30,Flat,Sindh,Karachi,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,2,113 Sq. Yd.,For Sale,6/28/2023,PKR1.25 Crore,12500000
31,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,106 Sq. Yd.,For Sale,6/29/2023,PKR65 Lakh,650000000
32,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",4,4,350 Sq. Yd.,For Sale,6/29/2023,PKR1.8 Crore,18000000
33,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",4,4,350 Sq. Yd.,For Sale,6/29/2023,PKR1.8 Crore,18000000
34,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,235 Sq. Yd.,For Sale,6/29/2023,PKR1.4 Crore,14000000
35,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",6,6,"2,000 Sq. Yd.",For Sale,6/28/2023,PKR45 Crore,450000000
36,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",6,7,"2,000 Sq. Yd.",For Sale,6/28/2023,PKR46.5 Crore,465000000
37,House,Sindh,Karachi,"North Karachi, Karachi, Sindh",3,2,120 Sq. Yd.,For Sale,6/28/2023,PKR2.5 Crore,25000000
38,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,6/28/2023,PKR1.82 Crore,18200000
39,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",4,4,350 Sq. Yd.,For Sale,6/28/2023,PKR2.15 Crore,21500000
40,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,6/28/2023,PKR1.7 Crore,17000000
41,House,Sindh,Karachi,"Navy Housing Scheme Karsaz, Karachi, Sindh",6,5,350 Sq. Yd.,For Sale,6/28/2023,PKR11 Crore,110000000
42,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",4,4,350 Sq. Yd.,For Sale,6/28/2023,PKR2 Crore,20000000
43,Flat,Sindh,Karachi,"DHA Defence, Karachi, Sindh",2,2,100 Sq. Yd.,For Sale,6/28/2023,PKR1.25 Crore,12500000
44,Flat,Sindh,Karachi,"Clifton, Karachi, Sindh",3,3,256 Sq. Yd.,For Sale,6/28/2023,PKR2.5 Crore,25000000
45,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,235 Sq. Yd.,For Sale,6/28/2023,PKR1.55 Crore,15500000
46,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",6,7,500 Sq. Yd.,For Sale,6/28/2023,PKR10 Crore,100000000
47,House,Sindh,Karachi,"Gulshan-e-Iqbal Town, Karachi, Sindh",5,4,240 Sq. Yd.,For Sale,6/28/2023,PKR12 Crore,120000000
48,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,125 Sq. Yd.,For Sale,6/28/2023,PKR1.4 Crore,14000000
49,Upper Portion,Sindh,Karachi,"North Karachi, Karachi, Sindh",3,3,160 Sq. Yd.,For Sale,6/28/2023,PKR1.65 Crore,16500000
50,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",4,4,125 Sq. Yd.,For Sale,6/29/2023,PKR1 Crore,10000000
51,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,125 Sq. Yd.,For Sale,6/29/2023,PKR1.15 Crore,11500000
52,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,35 Sq. Yd.,For Sale,6/29/2023,PKR27.84 Lakh,278400000
53,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,79 Sq. Yd.,For Sale,6/29/2023,PKR71.23 Lakh,712300000
54,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,106 Sq. Yd.,For Sale,6/27/2023,PKR75 Lakh,750000000
